compound,ZA,ZB,a0(RS),a0(ZB),delta-E,delta-E1D,delta-E2D,delta-E3D,d1,d2,d3,a0,delta-EWZ
ZnO,30,8,4.212,4.493,0.102,0.313,0.151,0.169,5.589,0.223,0.001996,3.176,0.008
ZnS,30,16,4.966,5.299,0.275,0.095,0.156,0.178,3.725,0.083,0.005532,3.747,-0.002
ZnSe,30,34,5.214,5.572,0.259,0.058,0.172,0.188,3.411,0.05,0.007104,3.94,-0.004
ZnTe,30,52,5.597,5.998,0.241,0.009,0.182,0.197,2.997,0.013,0.008234,4.241,-0.005
GaN,31,7,4.182,4.46,0.433,0.434,0.337,0.359,6.624,0.178,0.002016,3.151,0.009
GaP,31,15,5.049,5.395,0.341,0.177,0.352,0.372,4.427,0.007,0.00704,3.815,-0.008
GaAs,31,33,5.254,5.607,0.271,0.15,0.309,0.307,4.196,0.019,0.009365,3.965,-0.011
GaSb,31,51,5.645,6.052,0.158,0.097,0.149,0.132,3.743,0.089,0.009758,4.279,-0.011
GeGe,32,32,5.291,5.626,0.202,0.234,0.272,0.255,4.918,0.096,0.008941,3.978,-0.015
RbF,37,9,5.464,6.012,-0.136,-0.169,-0.276,-0.25,1.478,0.199,0.003739,4.251,0.008
RbCl,37,17,6.378,7.106,-0.161,-0.228,-0.27,-0.25,0.97,0.158,0.005709,5.025,0.007
RbBr,37,35,6.667,7.451,-0.164,-0.24,-0.261,-0.266,0.87,0.145,0.00865,5.269,0.007
RbI,37,53,7.104,7.977,-0.169,-0.253,-0.243,-0.253,0.756,0.125,0.009736,5.641,0.006
SrO,38,8,5.066,5.48,-0.221,-0.1,-0.241,-0.239,2.065,0.219,0.005704,3.875,0.035
SrS,38,16,5.906,6.514,-0.369,-0.181,-0.223,-0.297,1.376,0.157,0.01581,4.606,0.026
SrSe,38,34,6.124,6.775,-0.375,-0.194,-0.213,-0.324,1.26,0.142,0.0203,4.791,0.023
SrTe,38,52,6.527,7.267,-0.381,-0.212,-0.187,-0.321,1.107,0.114,0.02353,5.138,0.017
AgF,47,9,4.791,5.202,-0.156,0.16,-0.044,-0.02,4.281,0.254,0.001362,3.679,0.001
AgCl,47,17,5.355,5.78,-0.044,-0.013,-0.05,-0.005,2.81,0.15,0.002079,4.087,0.003
AgBr,47,35,5.585,6.035,-0.03,-0.047,-0.033,0.01,2.521,0.118,0.00315,4.268,0.002
AgI,47,53,5.897,6.355,0.037,-0.085,0.008,0.059,2.191,0.067,0.003546,4.494,0
CdO,48,8,4.636,4.993,-0.087,0.178,0.004,0.031,4.435,0.234,0.001407,3.531,0.011
CdS,48,16,5.337,5.76,0.07,0.004,0.026,0.062,2.956,0.111,0.003898,4.071,0.002
CdSe,48,34,5.563,6.013,0.083,-0.025,0.043,0.075,2.707,0.082,0.005006,4.249,-0.001
CdTe,48,52,5.931,6.414,0.113,-0.063,0.092,0.129,2.378,0.026,0.005803,4.535,-0.004
InN,49,7,4.604,4.943,0.15,0.268,0.143,0.178,5.208,0.2,0.0007797,3.491,0.013
InP,49,15,5.415,5.83,0.17,0.066,0.177,0.232,3.48,0.052,0.002723,4.122,-0.005
InAs,49,33,5.596,6.028,0.122,0.045,0.192,0.243,3.299,0.029,0.003622,4.263,-0.007
InSb,49,51,5.976,6.454,0.08,0.003,0.146,0.198,2.943,0.032,0.003774,4.564,-0.01
SnSn,50,50,6.009,6.476,0.016,0.05,0.092,0.048,3.344,0.097,0.01274,4.58,-0.014
BSb,5,51,4.931,5.186,0.581,0.784,0.662,0.577,9.612,0.187,0.01204,3.664,-0.001
CsF,55,9,5.805,6.342,-0.112,-0.164,-0.241,-0.21,1.515,0.179,0.003702,4.487,0.006
CsCl,55,17,6.73,7.485,-0.152,-0.225,-0.248,-0.226,0.995,0.145,0.005652,5.292,0.006
CsBr,55,35,7.021,7.829,-0.158,-0.237,-0.244,-0.245,0.892,0.135,0.008564,5.535,0.006
CsI,55,53,7.454,8.352,-0.165,-0.251,-0.232,-0.24,0.775,0.119,0.009639,5.904,0.005
BaO,56,8,5.436,5.793,-0.095,-0.115,-0.226,-0.212,1.941,0.2,0.00491,4.105,0.018
BaS,56,16,6.271,6.866,-0.326,-0.19,-0.224,-0.276,1.294,0.151,0.01361,4.853,0.024
BaSe,56,34,6.475,7.128,-0.35,-0.203,-0.218,-0.302,1.185,0.14,0.01747,5.036,0.023
BaTe,56,52,6.862,7.614,-0.381,-0.22,-0.2,-0.305,1.041,0.118,0.02025,5.378,0.019
GeC,32,6,4.312,4.531,0.808,0.527,0.524,0.567,7.416,0.116,0.0004929,3.202,0
SnC,50,6,4.71,4.999,0.45,0.309,0.262,0.306,5.558,0.149,0.0006925,3.53,0.007
GeSi,32,14,5.14,5.501,0.264,0.247,0.303,0.306,5.027,0.084,0.006938,3.887,-0.011
SnSi,50,14,5.539,5.953,0.136,0.099,0.252,0.247,3.767,0.024,0.009748,4.207,-0.01
SnGe,50,32,5.656,6.061,0.087,0.09,0.227,0.195,3.686,0.035,0.01256,4.283,-0.013
